state,location,plz
Sachsen Anhalt,Gommern,39245
Sachsen,Bernsdorf,2994
Bayern,Tutzing,82327
Sachsen Anhalt,Frose,6464
Niedersachsen,Sassenburg,38524
Bayern,Bad Tölz,83646
Thüringen,Bischofferode,37345
Niedersachsen,Wolfenbüttel,38302
Hessen,Bad Zwesten,34596
Niedersachsen,Osnabrück,49074
Nordrhein Westfalen,Bochum,44793
Sachsen,Oderwitz,2791
Sachsen Anhalt,Tangermünde,39590
Nordrhein Westfalen,Emmerich am Rhein,46446
Hessen,Hohenstein,65329
Nordrhein Westfalen,Kalkar,47546
Sachsen Anhalt,Laucha an der Unstrut,6636
Baden Württemberg,Ammerbuch,72119
Brandenburg,Gräben,14793
Hessen,Biebergemünd,63599
Niedersachsen,Soltau,29614
Nordrhein Westfalen,Dortmund,44145
Baden Württemberg,Rheinstetten,76287
Hessen,Bad Orb,63619
Hessen,Rüdesheim am Rhein,65385
Nordrhein Westfalen,Lippstadt,59557
Saarland,Saarbrücken,66119
Brandenburg,Werder Havel,14542
Baden Württemberg,Kehl,77694
Baden Württemberg,Abtsgmünd,73453
Niedersachsen,Hildesheim,31135
Sachsen Anhalt,Mücheln Geiseltal,6249
Baden Württemberg,Giengen an der Brenz,89537
Hessen,Lohfelden,34253
Sachsen,Deutzen,4574
Bayern,Siegsdorf,83313
Bayern,Dingolfing,84130
Bayern,Würzburg,97080
Hamburg,Hamburg,21073
Nordrhein Westfalen,Pulheim,50259
Bayern,Nürnberg,90478
Baden Württemberg,Bad Liebenzell,75378
Bayern,Kiefersfelden,83088
Sachsen,Schneeberg,8289
Sachsen Anhalt,Dessau Roßlau,6849
Sachsen,Frohburg,4654
Bayern,Bockhorn,85461
Bayern,Altdorf bei Nürnberg,90518
Schleswig Holstein,Husum,25813
Rheinland Pfalz,Schönau Pfalz,66996
Bayern,Nürnberg,90425
Mecklenburg Vorpommern,Süderholz,18516
Baden Württemberg,Sankt Blasien,79837
Rheinland Pfalz,Worms,67547
Bremen,Bremerhaven,27574
Nordrhein Westfalen,Neuss,41466
Niedersachsen,Haselünne,49740
Sachsen,Jahnsdorf/Erzgebirge,9387
Rheinland Pfalz,Wittlich,54516
Nordrhein Westfalen,Essen,45359
Baden Württemberg,Weinheim,69469
Thüringen,Gera,7754
Niedersachsen,Faßberg,29328
Bayern,Warmensteinach,95485
Saarland,Saarbrücken,66133
Niedersachsen,Lengede,38268
Nordrhein Westfalen,Kalletal,32689
Nordrhein Westfalen,Bielefeld,33649
Sachsen,Demitz Thumitz,1877
Bayern,München,81669
Baden Württemberg,Eutingen im Gäu,72184
Schleswig Holstein,Fehmarn,23769
Rheinland Pfalz,Ulmen,56766
Bayern,Heilsbronn,91560
Bayern,Fischach,86850
Nordrhein Westfalen,Köln,51147
Nordrhein Westfalen,Leverkusen,51381
Schleswig Holstein,Lübeck,23568
Niedersachsen,Jever,26441
Nordrhein Westfalen,Wetter Ruhr,58300
Baden Württemberg,Todtnau,79674
Sachsen,Raschau Markersbach,8352
Hessen,Wetzlar,35586
Bayern,Lindau Bodensee,88131
Hessen,Frankfurt am Main,60431
Nordrhein Westfalen,Wuppertal,42349
Nordrhein Westfalen,Paderborn,33106
Bayern,Niederwerrn,97464
Nordrhein Westfalen,Beverungen,37688
Baden Württemberg,Stuttgart,70173
Mecklenburg Vorpommern,Rosenow,17091
Hessen,Offenbach am Main,63071
Bayern,Obernzell,94130
Nordrhein Westfalen,Bonn,53129
Nordrhein Westfalen,Düsseldorf,40479
Bayern,Holzkirchen,83607
Hessen,Kassel,34134
Bayern,Arzberg,95659
Nordrhein Westfalen,Mettmann,40822
Thüringen,Jena,7743
Brandenburg,Eberswalde,16225
Hessen,Messel,64409
Sachsen,Priestewitz,1561
Nordrhein Westfalen,Köln,50996
Nordrhein Westfalen,Hamm,59071
Nordrhein Westfalen,Paderborn,33100
Mecklenburg Vorpommern,Gadebusch,19205
Rheinland Pfalz,Weitersburg,56191
Baden Württemberg,Offenburg,77656
Baden Württemberg,Dossenheim,69221
Baden Württemberg,Bietigheim,76467
Sachsen,Eibenstock,8309
Niedersachsen,Gieboldehausen,37434
Bayern,München,81241
Niedersachsen,Celle,29225
Sachsen Anhalt,Huy,38838
Thüringen,Unterwellenborn,7333
Rheinland Pfalz,Waldbreitbach,56538
Bayern,Ansbach,91522
Nordrhein Westfalen,Zülpich,53909
Hessen,Marburg,35039
Bayern,Ingolstadt,85053
Brandenburg,Frankfurt Oder,15230
Sachsen Anhalt,Altmarkkreis Salzwedel,38486
Niedersachsen,Bad Salzdetfurth,31162
Niedersachsen,Göttingen,37075
Brandenburg,Golßen,15938
Brandenburg,Drebkau,3116
Hessen,Wetzlar,35580
Berlin,Berlin,10247
Sachsen,Wolkenstein,9429
Nordrhein Westfalen,Düsseldorf,40468
Bayern,Dießen am Ammersee,86911
Bayern,Vilshofen an der Donau,94474
Baden Württemberg,Ulm,89077
Baden Württemberg,Marxzell,76359
Niedersachsen,Cremlingen,38162
Bayern,Augsburg,86159
Hessen,Maintal,63477
Hessen,Hanau,63457
Berlin,Berlin,12157
Bayern,Plattling,94447
Baden Württemberg,Weil der Stadt,71263
Brandenburg,Teltow,14513
Bayern,Gmund am Tegernsee,83703
Sachsen,Zeithain,1619
Nordrhein Westfalen,Kempen,47906
Baden Württemberg,Tübingen,72072
Bayern,Langfurth,91731
Baden Württemberg,Erlenbach,74235
Bayern,Ottobrunn,85521
Berlin,Berlin,10961
Nordrhein Westfalen,Bielefeld,33609
Saarland,Neunkirchen,66538
Mecklenburg Vorpommern,Dorf Mecklenburg,23972
Baden Württemberg,Albbruck,79774
Bayern,Ingolstadt,85049
Bayern,Hohenkammer,85411
Hamburg,Hamburg,20459
Bayern,Langensendelbach,91094
Baden Württemberg,Esslingen am Neckar,73730
Nordrhein Westfalen,Dortmund,44267
Schleswig Holstein,Neumünster,24537
Bayern,Dachau,85221
Niedersachsen,Bad Lauterberg im Harz,37431
Mecklenburg Vorpommern,Hanshagen,17509
Nordrhein Westfalen,Herne,44652
Bayern,Nürnberg,90453
Thüringen,Suhl,98528
Bayern,Neustadt an der Donau,93333
Sachsen,Hartenstein,8118
Sachsen,Oßling,1920
Nordrhein Westfalen,Kierspe,58566
Sachsen,Erlbach Kirchberg,9385
Bayern,Unterschleißheim,85716
Nordrhein Westfalen,Krefeld,47809
Bayern,München,81737
Hessen,Fulda,36043
Bayern,Reichertshausen,85293
Sachsen,Zwickau,8064
Hessen,Neuhof,36119
Nordrhein Westfalen,Wesseling,50389
Bayern,München,81829
Mecklenburg Vorpommern,Rostock,18119
Hessen,Friedberg Hessen,61169
Niedersachsen,Schneverdingen,29640
Brandenburg,Altlandsberg,15345
Thüringen,Erfurt,99099
Baden Württemberg,Engen,78234
Nordrhein Westfalen,Solingen,42655
Nordrhein Westfalen,Lünen,44534
Mecklenburg Vorpommern,Peenemünde,17449
Mecklenburg Vorpommern,Wittenförden,19073
Brandenburg,Zossen,15806
Schleswig Holstein,Kiel,24105
Nordrhein Westfalen,Bielefeld,33689
Hamburg,Hamburg,22459
Bayern,München,81477
Bayern,Nürnberg,90469
Bayern,Ingolstadt,85057
Sachsen Anhalt,Calbe Saale,39240
Hessen,Wiesbaden,65187
Bayern,Tuchenbach,90587
Rheinland Pfalz,Trier,54296
Niedersachsen,Hannover,30419
Niedersachsen,Emlichheim,49824
Bayern,Mering,86415
Hamburg,Hamburg,22587
Baden Württemberg,Münsingen,72525
Sachsen,Thalheim/Erzgebirge,9380
Niedersachsen,Celle,29223
Nordrhein Westfalen,Leverkusen,51377
Sachsen,Thermalbad Wiesenbad,9488
Nordrhein Westfalen,Lübbecke,32312
Baden Württemberg,Esslingen am Neckar,73734
Nordrhein Westfalen,Neunkirchen Seelscheid,53819
Bremen,Bremen,28279
Nordrhein Westfalen,Lohmar,53797
Nordrhein Westfalen,Gladbeck,45964
Bayern,Waldershof,95679
Baden Württemberg,Neckargerach,69437
Berlin,Berlin,14163
Baden Württemberg,Ingersheim,74379
Bayern,München,81475
Hamburg,Hamburg,21129
Berlin,Berlin,12247
Rheinland Pfalz,Betzdorf,57518
Nordrhein Westfalen,Erftstadt,50374
Nordrhein Westfalen,Duisburg,47059
Brandenburg,Perleberg,19348
Berlin,Berlin,10587
Bayern,Landsberg am Lech,86899
Thüringen,Creuzburg,99831
Nordrhein Westfalen,Reken,48734
Niedersachsen,Bramsche,49565
Bayern,Glattbach,63864
Sachsen,Bad Elster,8645
Nordrhein Westfalen,Euskirchen,53879
Bayern,Ingolstadt,85055
Bayern,Weitramsdorf,96479
Berlin,Berlin,10829
Brandenburg,Hohenbucko,4936
Brandenburg,Forst Lausitz,3149
Nordrhein Westfalen,Düsseldorf,40474
Mecklenburg Vorpommern,Elmenhorst/Lichtenhagen,18107
Thüringen,Meiningen,98617
Nordrhein Westfalen,Köln,51065
Hessen,Darmstadt,64297
Bayern,Freising,85354
Sachsen Anhalt,Mühlbeck,6774
Hessen,Egelsbach,63329
Nordrhein Westfalen,Gronau Westfalen,48599
Nordrhein Westfalen,Köln,50674
Nordrhein Westfalen,Köln,50999
Hessen,Neu Anspach,61267
Schleswig Holstein,Brunsbüttel,25541
Brandenburg,Frankfurt Oder,15232
Nordrhein Westfalen,Herford,32051
Thüringen,Heilbad Heiligenstadt,37308
Schleswig Holstein,Mildstedt,25866
Sachsen,Oederan,9569
Nordrhein Westfalen,Oberhausen,46149
Schleswig Holstein,Kiel,24111
Baden Württemberg,Stuttgart,70188
Schleswig Holstein,Sörup,24966
Brandenburg,Rheinsberg,16831
Baden Württemberg,Uhldingen Mühlhofen,88690
Mecklenburg Vorpommern,Rappin,18528
Schleswig Holstein,Bad Schwartau,23611
Hessen,Erzhausen,64390
Rheinland Pfalz,Molzhain,57520
Nordrhein Westfalen,Nachrodt Wiblingwerde,58679
Baden Württemberg,Bad Schönborn,76669
Brandenburg,Falkenberg/Elster,4895
Niedersachsen,Worpswede,27726
Nordrhein Westfalen,Hückeswagen,42499
Baden Württemberg,Aulendorf,88326
Niedersachsen,Eschershausen,37632
Niedersachsen,Langenhagen,30853
Nordrhein Westfalen,Coesfeld,48653
Nordrhein Westfalen,Düsseldorf,40547
Rheinland Pfalz,Mainz,55116
Mecklenburg Vorpommern,Rostock,18109
Niedersachsen,Sulingen,27232
Nordrhein Westfalen,Baesweiler,52499
Niedersachsen,Westerstede,26655
Rheinland Pfalz,Hachenburg,57627
Baden Württemberg,Stuttgart,70597
Hamburg,Hamburg,21079
Hamburg,Hamburg,22455
Bremen,Bremen,28355
Niedersachsen,Hannover,30559
Saarland,Saarbrücken,66130
Niedersachsen,Neu Wulmstorf,21629
Baden Württemberg,Graben Neudorf,76676
Berlin,Berlin,10965
Baden Württemberg,Winnenden,71364
Thüringen,Bad Salzungen,36433
Hessen,Bebra,36179
Mecklenburg Vorpommern,Kletzin,17111
Nordrhein Westfalen,Straelen,47638
Baden Württemberg,Neuhausen,75242
Thüringen,Zedlitz,7557
Niedersachsen,Osnabrück,49086
Bayern,Bayreuth,95447
Sachsen,Lunzenau,9328
Schleswig Holstein,Kiel,24143
Niedersachsen,Bad Sachsa,37441
Berlin,Berlin,13158
Rheinland Pfalz,Irrel,54666
Thüringen,Hörselberg Hainich,99820
Nordrhein Westfalen,Köln,50969
Bayern,Möhrendorf,91096
Hessen,Hessisch Lichtenau,37235
Bayern,Rosenheim,83026
Baden Württemberg,Birkenfeld,75217
Baden Württemberg,Niederstotzingen,89168
Baden Württemberg,Stuttgart,70182
Baden Württemberg,Karlsruhe,76133
Rheinland Pfalz,Simmern,56337
Bayern,München,81547
Nordrhein Westfalen,Meckenheim,53340
Rheinland Pfalz,Landau in der Pfalz,76829
Mecklenburg Vorpommern,Rollwitz,17309
Hessen,Mühlheim am Main,63165
Mecklenburg Vorpommern,Grambow,17322
Rheinland Pfalz,Ludwigshafen am Rhein,67065
Thüringen,Jena,7747
Berlin,Berlin,12683
Sachsen,Neukieritzsch,4575
Hessen,Fulda,36037
Baden Württemberg,Horgenzell,88263
Nordrhein Westfalen,Witten,58454
Niedersachsen,Isenbüttel,38550
Niedersachsen,Jork,21635
Mecklenburg Vorpommern,Diekhof,18299
Sachsen,Ottendorf Okrilla,1458
Nordrhein Westfalen,Siegen,57080
Hamburg,Hamburg,22211
Nordrhein Westfalen,Nümbrecht,51588
Baden Württemberg,Schwäbisch Gmünd,73527
Schleswig Holstein,Elmshorn,25336
Berlin,Berlin,14197
Bayern,Hof,95030
Brandenburg,Wittenberge,19322
Nordrhein Westfalen,Bonn,53127
Nordrhein Westfalen,Schalksmühle,58579
Hessen,Hadamar,65589
Baden Württemberg,Sankt Georgen im Schwarzwald,78112
Sachsen,Fraureuth,8427
Niedersachsen,Hambergen,27729
Baden Württemberg,Staufen im Breisgau,79219
Hessen,Glashütten,61479
Nordrhein Westfalen,Velbert,42555
Baden Württemberg,Wehr,79664
Nordrhein Westfalen,Remscheid,42897
Sachsen,Großschirma,9603
Sachsen Anhalt,Gommern,39291
Sachsen,Gornau/Erzgebirge,9405
Nordrhein Westfalen,Duisburg,47139
Nordrhein Westfalen,Essen,45138
Hessen,Aarbergen,65326
Niedersachsen,Georgsmarienhütte,49124
Baden Württemberg,Pfalzgrafenweiler,72285
Sachsen,Leutersdorf,2794
Nordrhein Westfalen,Bottrop,46238
Rheinland Pfalz,Zweibrücken,66482
Sachsen,Breitenbrunn/Erzgebirge,8359
Nordrhein Westfalen,Dortmund,44125
Nordrhein Westfalen,Wuppertal,42103
Hamburg,Hamburg,22045
Schleswig Holstein,Lübeck,23554
Bayern,Schweitenkirchen,85301
Rheinland Pfalz,Mainz,55120
Bayern,Jetzendorf,85305
Brandenburg,Neuruppin,16827
Nordrhein Westfalen,Gladbeck,45958
Rheinland Pfalz,Gau Algesheim,55435
Baden Württemberg,Renningen,71272
Baden Württemberg,Stuttgart,70193
Baden Württemberg,Königsbach Stein,75203
Bayern,München,81925
Niedersachsen,Salzgitter,38226
Bayern,Deggendorf,94469
Rheinland Pfalz,Pirmasens,66955
Niedersachsen,Emden,26725
Schleswig Holstein,Bargteheide,22941
Rheinland Pfalz,Mainz,55128
Nordrhein Westfalen,Düsseldorf,40559
Bayern,Regensburg,93055
Bayern,Schwabmünchen,86830
Hessen,Bad Soden Salmünster,63628
Schleswig Holstein,Ahrensburg,22926
Nordrhein Westfalen,Hiddenhausen,32120
Nordrhein Westfalen,Moers,47447
Nordrhein Westfalen,Bad Oeynhausen,32545
Niedersachsen,Hameln,31785
Nordrhein Westfalen,Ennepetal,58256
Hessen,Runkel,65594
Baden Württemberg,Ulm,89081
Baden Württemberg,Bad Herrenalb,76332
Nordrhein Westfalen,Minden,32423
Rheinland Pfalz,Mainz,55130
Rheinland Pfalz,Alsheim,67577
Baden Württemberg,Aichelberg,73101
Bayern,München,81375
Nordrhein Westfalen,Bochum,44867
Sachsen Anhalt,Raguhn,6779
Baden Württemberg,Plochingen,73207
Bayern,Altenstadt,86972
Baden Württemberg,Weilheim,79761
Niedersachsen,Bad Essen,49152
Hessen,Steinau an der Straße,36396
Baden Württemberg,Lahr/Schwarzwald,77933
Niedersachsen,Verden Aller,27283
Baden Württemberg,Ketsch,68775
Bayern,Kirchheim bei München,85551
Nordrhein Westfalen,Köln,50672
Niedersachsen,Butjadingen,26969
Niedersachsen,Wolfenbüttel,38304
Thüringen,Langenwetzendorf,7957
Hamburg,Hamburg,22419
Nordrhein Westfalen,Köln,51149
Hessen,Kassel,34119
Sachsen,Geithain,4643
Niedersachsen,Wolfenbüttel,38203
Nordrhein Westfalen,Duisburg,47119
Baden Württemberg,Brackenheim,74336
Hessen,Espenau,34314
Brandenburg,Potsdam,14467
Niedersachsen,Oldenburg Oldenburg,26122
Bayern,Prien am Chiemsee,83209
Bayern,München,80539
Bayern,Taufkirchen Vils,84416
Baden Württemberg,Hockenheim,68766
Hessen,Fulda,36039
Bayern,Postau,84103
Baden Württemberg,Stuttgart,70191
Schleswig Holstein,Oldenburg in Holstein,23758
Hessen,Seligenstadt,63500
Berlin,Berlin,13587
Schleswig Holstein,Kiel,24149
Brandenburg,Glienicke/Nordbahn,16548
Sachsen,Lengenfeld,8485
Sachsen,Sehmatal,9465
Nordrhein Westfalen,Bocholt,46395
Bayern,Ampfing,84539
Thüringen,Rudolstadt,7407
Bayern,Kirchseeon,85614
Mecklenburg Vorpommern,Hagenow,19230
Nordrhein Westfalen,Hemer,58675
Baden Württemberg,Herrenberg,71083
Hamburg,Hamburg,22297
Sachsen,Wilsdruff,1723
Niedersachsen,Goslar,38642
Nordrhein Westfalen,Bonn,53125
Rheinland Pfalz,Trippstadt,67705
Thüringen,Crossen an der Elster,7613
Nordrhein Westfalen,Köln,51143
Berlin,Berlin,13189
Schleswig Holstein,Moorrege,25436
Nordrhein Westfalen,Gelsenkirchen,45897
Rheinland Pfalz,Ingelheim am Rhein,55218
Bayern,München,81927
Baden Württemberg,Stuttgart,70192
Schleswig Holstein,Oeversee,24988
Nordrhein Westfalen,Balve,58802
Nordrhein Westfalen,Höxter,37671
Rheinland Pfalz,Herxheim bei Landau/Pfalz,76863
Baden Württemberg,Biberach an der Riß,88400
Nordrhein Westfalen,Münster,48151
Hamburg,Hamburg,20149
Baden Württemberg,Lörrach,79540
Mecklenburg Vorpommern,Crivitz,19089
Nordrhein Westfalen,Leverkusen,51373
Sachsen Anhalt,Annaburg,6925
Nordrhein Westfalen,Ratingen,40882
Bayern,Postbauer Heng,92353
Rheinland Pfalz,Dierdorf,56269
Bremen,Bremen,28211
Berlin,Berlin,10825
Hessen,Oestrich Winkel,65375
Bayern,Waidhofen,86579
Hessen,Frankfurt am Main,60327
Bayern,Stockstadt am Main,63811
Baden Württemberg,Lauffen am Neckar,74348
Sachsen,Krauschwitz,2957
Bayern,Neutraubling,93073
Rheinland Pfalz,Baumholder,55774
Berlin,Berlin,10627
Berlin,Berlin,12277
Rheinland Pfalz,Bullay,56859
Sachsen Anhalt,Lindtorf,39596
Schleswig Holstein,Malente,23714
Hamburg,Hamburg,22547
Nordrhein Westfalen,Kirchlengern,32278
Rheinland Pfalz,Grafschaft,53501
Sachsen,Mylau,8499
Brandenburg,Lauchhammer,1979
Mecklenburg Vorpommern,Boltenhagen,23946
Baden Württemberg,Freiburg im Breisgau,79117
Rheinland Pfalz,Lahnstein,56112
Brandenburg,Gransee,16775
Brandenburg,Groß Kreutz Havel,14550
Nordrhein Westfalen,Dinslaken,46353
Sachsen Anhalt,Barleben,39179
Schleswig Holstein,Glückstadt,25348
Bayern,München,80805
Bayern,München,80779
Nordrhein Westfalen,Hagen,58091
Niedersachsen,Braunschweig,38116
Brandenburg,Schönewalde,6917
Schleswig Holstein,Lütjenburg,24321
Baden Württemberg,Müllheim,79379
Baden Württemberg,Binzen,79589
Sachsen Anhalt,Sandersdorf,6792
Hessen,Alsbach Hähnlein,64665
Sachsen,Dresden,1156
Sachsen,Weißwasser/Oberlausitz,2943
Niedersachsen,Alfeld Leine,31061
Bremen,Bremen,28203
Sachsen,Jöhstadt,9477
Berlin,Berlin,10625
Hamburg,Hamburg,22417
Niedersachsen,Hannover,30171
Sachsen Anhalt,Halle Saale,6126
Niedersachsen,Delmenhorst,27749
Baden Württemberg,Küssaberg,79790
Bayern,Amberg,92224
Sachsen,Mügeln,4769
Bayern,München,81373
Thüringen,Bleicherode,99752
Hessen,Sulzbach Taunus,65843
Schleswig Holstein,Reinbek,21465
Nordrhein Westfalen,Sundern Sauerland,59846
Schleswig Holstein,Quickborn,25451
Nordrhein Westfalen,Mönchengladbach,41068
Baden Württemberg,Mannheim,68219
Bayern,Speichersdorf,95469
Sachsen,Dresden,1237
Sachsen Anhalt,Coswig Anhalt,6869
Nordrhein Westfalen,Frechen,50225
Hessen,Frankfurt am Main,60529
Baden Württemberg,Mannheim,68229
Nordrhein Westfalen,Bochum,44869
Baden Württemberg,Pfinztal,76327
Baden Württemberg,Ühlingen Birkendorf,79777
Berlin,Berlin,12163
Sachsen,Schleife,2959
Niedersachsen,Oldenburg Oldenburg,26121
Nordrhein Westfalen,Billerbeck,48727
Baden Württemberg,Heidenheim an der Brenz,89518
Niedersachsen,Hude Oldenburg,27798
Rheinland Pfalz,Eisenberg Pfalz,67304
Sachsen Anhalt,Halle Saale,6116
Baden Württemberg,Karlsruhe,76189
Bayern,Johannesberg,63867
Niedersachsen,Cloppenburg,49661
Nordrhein Westfalen,Bielefeld,33719
Baden Württemberg,Heidelberg,69121
Hessen,Niederaula,36272
Nordrhein Westfalen,Bonn,53229
Sachsen,Chemnitz,9228
Baden Württemberg,Bad Bellingen,79415
Bremen,Bremen,28755
Hessen,Bruchköbel,63486
Berlin,Berlin,12681
Niedersachsen,Bodenfelde,37194
Rheinland Pfalz,Bad Dürkheim,67098
Schleswig Holstein,Neumünster,25439
Hamburg,Hamburg,22081
Rheinland Pfalz,Wißmannsdorf,54636
Nordrhein Westfalen,Castrop Rauxel,44577
Bayern,Erlangen,90562
Brandenburg,Neuruppin,16816
Bayern,Königsbrunn,86343
Nordrhein Westfalen,Tönisvorst,47918
Bayern,Vöhringen,89269
Niedersachsen,Bomlitz,29699
Berlin,Berlin,10715
Nordrhein Westfalen,Harsewinkel,33428
Baden Württemberg,Albstadt,72458
Thüringen,Erfurt,99087
Niedersachsen,Varel,26316
Sachsen Anhalt,Wernigerode,38855
Bayern,Stephanskirchen,83071
Saarland,Merzig,66663
Nordrhein Westfalen,Herzebrock Clarholz,33442
Bremen,Bremen,28219
Bayern,Landau an der Isar,94405
Hessen,Hünfeld,36088
Nordrhein Westfalen,Herzogenrath,52134
Rheinland Pfalz,Braubach,56338
Baden Württemberg,Weinstadt,71384
Baden Württemberg,Heidelberg,62194
Hamburg,Hamburg,22119
Nordrhein Westfalen,Haltern am See,45721
Schleswig Holstein,Bad Bramstedt,24576
Niedersachsen,Braunschweig,38124
Nordrhein Westfalen,Rheine,48429
Hessen,Brechen,65611
Hamburg,Hamburg,21075
Baden Württemberg,Wittlingen,79599
Baden Württemberg,Münstertal/Schwarzwald,79244
Nordrhein Westfalen,Bad Salzuflen,32108
Berlin,Berlin,14195
Hessen,Schwalbach am Taunus,65824
Berlin,Berlin,12049
Niedersachsen,Grasleben,38368
Hessen,Mörlenbach,69509
Nordrhein Westfalen,Aachen,52078
Bayern,Gilching,82205
Brandenburg,Ludwigsfelde,14974
Mecklenburg Vorpommern,Ventschow,19417
Thüringen,Ilmenau,98693
Schleswig Holstein,Lehmkuhlen,24211
Nordrhein Westfalen,Gütersloh,33335
Hessen,Eschwege,37269
Nordrhein Westfalen,Düren,52355
Sachsen Anhalt,Leuna,6237
Niedersachsen,Buxtehude,21614
Baden Württemberg,Schopfheim,79650
Nordrhein Westfalen,Krefeld,47829
Sachsen,Lengefeld,9514
Nordrhein Westfalen,Bonn,53175
Niedersachsen,Hannover,30519
Mecklenburg Vorpommern,Kittendorf,17153
Bayern,Glonn,85625
Nordrhein Westfalen,Wuppertal,42329
Nordrhein Westfalen,Köln,50827
Hamburg,Hamburg,22307
Nordrhein Westfalen,Wülfrath,42489
Niedersachsen,Celle,29229
Hessen,Gießen,35392
Baden Württemberg,Ravensburg,88214
Mecklenburg Vorpommern,Zingst,18374
Berlin,Berlin,10365
Niedersachsen,Goslar,38640
Bremen,Bremen,28359
Bayern,Baiersdorf,91083
Baden Württemberg,Calw,75365
Mecklenburg Vorpommern,Lambrechtshagen,18069
Niedersachsen,Bad Bederkesa,27624
Rheinland Pfalz,Neuwied,56564
Sachsen,Leipzig,4316
Schleswig Holstein,Büchen,21514
Rheinland Pfalz,Bendorf,56170
Bayern,Nürnberg,90461
Sachsen,Schöneck/Vogtland,8261
Schleswig Holstein,Hennstedt,25779
Niedersachsen,Wiesmoor,26639
Brandenburg,Kloster Lehnin,14797
Nordrhein Westfalen,Witten,58456
Brandenburg,Bestensee,15741
Nordrhein Westfalen,Wegberg,41844
Nordrhein Westfalen,Gladbeck,45965
Sachsen,Oelsnitz/Vogtland,8606
Thüringen,Waltershausen,99088
Bayern,München,80634
Bayern,Planegg,82152
Bayern,Wolnzach,85283
Bayern,Regensburg,93059
Schleswig Holstein,Stockelsdorf,23617
Schleswig Holstein,Kiel,24118
Niedersachsen,Osnabrück,49080
Nordrhein Westfalen,Mönchengladbach,41069
Bayern,Au in der Hallertau,84072
Nordrhein Westfalen,Sassenberg,48336
Bayern,Weyarn,83734
Niedersachsen,Emden,26723
Bayern,Eichstätt,85072
Bayern,Germering,82110
Baden Württemberg,Heidenheim an der Brenz,89520
Baden Württemberg,Stuttgart,70569
Nordrhein Westfalen,Bad Lippspringe,33175
Baden Württemberg,Freiburg im Breisgau,79112
Bayern,Altötting,84503
Schleswig Holstein,Borgstedt,24782
Baden Württemberg,Lenzkirch,79583
Baden Württemberg,Baiersbronn,72270
Baden Württemberg,Esslingen am Neckar,73733
Sachsen,Thum,9419
Nordrhein Westfalen,Oberhausen,46049
Bayern,Eching am Ammersee,82279
Hessen,Wolfhagen,34466
Thüringen,Teichwolframsdorf,7987
Niedersachsen,Braunschweig,38120
Niedersachsen,Salzgitter,38228
Niedersachsen,Bruchhausen Vilsen,27305
Sachsen Anhalt,Aue Fallstein,38835
Bayern,Gauting,82131
Nordrhein Westfalen,Bonn,53225
Hessen,Ginsheim Gustavsburg,65462
Schleswig Holstein,Handewitt,24983
Baden Württemberg,Heilbronn,74080
Bayern,Osterhofen,94486
Hessen,Marburg,35043
Saarland,Saarbrücken,66117
Nordrhein Westfalen,Unna,59423
Hamburg,Hamburg,22393
Nordrhein Westfalen,Bad Salzuflen,32105
Nordrhein Westfalen,Leverkusen,51371
Hamburg,Hamburg,22309
Nordrhein Westfalen,Münster,48157
Bayern,Berchtesgaden,83471
Nordrhein Westfalen,Neuss,41469
Niedersachsen,Hannover,30629
Nordrhein Westfalen,Bergheim,50126
Bayern,München,80803
Schleswig Holstein,Grömitz,23743
Bayern,Markt Einersheim,97348
Niedersachsen,Oldenburg Oldenburg,26123
Bayern,Karlstein am Main,63791
Schleswig Holstein,Neumünster,24536
Brandenburg,Cottbus,3046
Niedersachsen,Hannover,30625
Nordrhein Westfalen,Velbert,42551
Hessen,Eltville am Rhein,65347
Brandenburg,Bad Saarow,15526
Hessen,Wanfried,37281
Hamburg,Hamburg,20099
Nordrhein Westfalen,Wuppertal,42105
Hamburg,Hamburg,21031
Baden Württemberg,Brühl,68782
Sachsen Anhalt,Bitterfeld Wolfen,6766
Baden Württemberg,Walldorf,69190
Mecklenburg Vorpommern,Velgast,18469
Nordrhein Westfalen,Wassenberg,42849
Nordrhein Westfalen,Werdohl,58790
Bayern,Zusamaltheim,86637
Mecklenburg Vorpommern,Torgelow,17358
Nordrhein Westfalen,Bonn,53121
Nordrhein Westfalen,Köln,51061
Niedersachsen,Spelle,48480
Bayern,Neu Ulm,89233
Berlin,Berlin,10585
Mecklenburg Vorpommern,Cölpin,17094
Saarland,Saarbrücken,66123
Berlin,Berlin,13355
Mecklenburg Vorpommern,Gnoien,17179
Baden Württemberg,Rastatt,76437
Thüringen,Effelder,37359
Baden Württemberg,Tübingen,72076
Nordrhein Westfalen,Viersen,41749
Mecklenburg Vorpommern,Gielow,17139
Schleswig Holstein,Lübeck,23552
Niedersachsen,Cuxhaven,27476
Bayern,Bad Wörishofen,86825
Baden Württemberg,Friedrichshafen,88045
Hessen,Groß Gerau,64521
Sachsen,Pausa/Vogtland,7952
Baden Württemberg,Bad Säckingen,79713
Bayern,Adlkofen,84166
Mecklenburg Vorpommern,Schwaan,18258
Brandenburg,Birkenwerder,16547
Baden Württemberg,Geislingen an der Steige,73312
Sachsen,Chemnitz,9128
Hamburg,Hamburg,22159
Bremen,Bremen,28217
Nordrhein Westfalen,Iserlohn,58642
